,ID,Is desens,IC ISI Decile 0,IC ISI Decile 1,IC ISI Decile 2,IC ISI Decile 3,IC ISI Decile 4,IC ISI Decile 5,IC ISI Decile 6,IC ISI Decile 7,IC ISI Decile 8,IC ISI Decile 9,IC ISI Decile 10,IC Phase Decile 0,IC Phase Decile 1,IC Phase Decile 2,IC Phase Decile 3,IC Phase Decile 4,IC Phase Decile 5,IC Phase Decile 6,IC Phase Decile 7,IC Phase Decile 8,IC Phase Decile 9,IC Phase Decile 10,IC Additional feature 0,IC Additional feature 1,IC Additional feature 2,IC Additional feature 3,PD ISI Decile 0,PD ISI Decile 1,PD ISI Decile 2,PD ISI Decile 3,PD ISI Decile 4,PD ISI Decile 5,PD ISI Decile 6,PD ISI Decile 7,PD ISI Decile 8,PD ISI Decile 9,PD ISI Decile 10,PD Phase Decile 0,PD Phase Decile 1,PD Phase Decile 2,PD Phase Decile 3,PD Phase Decile 4,PD Phase Decile 5,PD Phase Decile 6,PD Phase Decile 7,PD Phase Decile 8,PD Phase Decile 9,PD Phase Decile 10,PD Additional feature 0,PD Additional feature 1,PD Additional feature 2,PD Additional feature 3,AM ISI Decile 0,AM ISI Decile 1,AM ISI Decile 2,AM ISI Decile 3,AM ISI Decile 4,AM ISI Decile 5,AM ISI Decile 6,AM ISI Decile 7,AM ISI Decile 8,AM ISI Decile 9,AM ISI Decile 10,AM Phase Decile 0,AM Phase Decile 1,AM Phase Decile 2,AM Phase Decile 3,AM Phase Decile 4,AM Phase Decile 5,AM Phase Decile 6,AM Phase Decile 7,AM Phase Decile 8,AM Phase Decile 9,AM Phase Decile 10,AM Additional feature 0,AM Additional feature 1,AM Additional feature 2,AM Additional feature 3,LG ISI Decile 0,LG ISI Decile 1,LG ISI Decile 2,LG ISI Decile 3,LG ISI Decile 4,LG ISI Decile 5,LG ISI Decile 6,LG ISI Decile 7,LG ISI Decile 8,LG ISI Decile 9,LG ISI Decile 10,LG Phase Decile 0,LG Phase Decile 1,LG Phase Decile 2,LG Phase Decile 3,LG Phase Decile 4,LG Phase Decile 5,LG Phase Decile 6,LG Phase Decile 7,LG Phase Decile 8,LG Phase Decile 9,LG Phase Decile 10,LG Additional feature 0,LG Additional feature 1,LG Additional feature 2,LG Additional feature 3,DG ISI Decile 0,DG ISI Decile 1,DG ISI Decile 2,DG ISI Decile 3,DG ISI Decile 4,DG ISI Decile 5,DG ISI Decile 6,DG ISI Decile 7,DG ISI Decile 8,DG ISI Decile 9,DG ISI Decile 10,DG Phase Decile 0,DG Phase Decile 1,DG Phase Decile 2,DG Phase Decile 3,DG Phase Decile 4,DG Phase Decile 5,DG Phase Decile 6,DG Phase Decile 7,DG Phase Decile 8,DG Phase Decile 9,DG Phase Decile 10,DG Additional feature 0,DG Additional feature 1,DG Additional feature 2,DG Additional feature 3,# Long IC Bursts
0,"3-20-23 Saline 0 +
 gsif 10^-6M segment 0",False,0.01026,0.03861,0.04185,0.04482,0.04806,0.05157,0.05697,0.06642,0.09126,0.6844500000000835,6.786449999999832,0,2.0,5.0,7.0,10.0,13.0,18.0,45.0,60.0,82.20000000000005,98,20.16360418972656,0.9902924209269784,1.3626999186770887,17.46736292428961,0.01026,0.015849,0.02457,0.02781,0.02916,0.03051,0.03186,0.034263,0.04266,0.9386819999999262,2.7072900000000573,0,18.0,26.80000000000001,36.0,44.0,52.0,61.0,71.0,80.0,91.0,99,38.68643886,0.986935275,1.1535895075932483,13.821839080435572,0.08937,0.10044,0.1053000000001702,0.1106999999999516,0.1182600000001912,0.1285199999999804,0.1428300000000035,0.1692900000000463,0.2229120000001331,0.3269699999998465,1.2803399999997964,0,5.400000000000006,12.0,21.0,35.0,45.0,54.39999999999998,65.0,77.0,90.0,99,7.953982539790074,0.8926613243357103,1.0956561922363586,0.8263473053872488,0.04725,0.1582200000000284,0.1825199999999313,0.2324700000001485,0.2672999999999774,0.3096899999999323,0.3987899999999627,0.5991299999998319,0.9965160000000198,5.353830000000016,9.829350000000204,0,2.0,7.600000000000008,30.2,36.0,40.0,45.0,49.0,55.0,90.2,98,5.911656072,0.9160829556379668,1.3512861437957413,9.260273972603992,0.03051,0.05994,0.06561,0.07344,0.08181,0.08883,0.09828,0.1071899999999459,0.1174499999999625,0.1374299999999948,12.964050000000045,0,10.0,15.600000000000025,21.0,28.0,34.0,42.0,56.0,72.0,85.70000000000005,99,11.729887143045932,0.9827345621159952,1.318115683421644,50.0,14
1,"3-20-23 Saline 0 +
 gsif 10^-6M segment 1",False,0.01026,0.03429,0.037638,0.0405,0.04212,0.04455,0.04887,0.054513,0.067986,0.1369709999999941,6.0277500000001965,0,2.0,5.0,7.0,10.0,14.0,26.0,52.29999999999996,63.200000000000045,87.0,99,23.55443118210037,0.9836506159015052,1.0074458483754631,14.042857142878324,0.01026,0.01593,0.02484,0.02673,0.02808,0.02916,0.03078,0.03267,0.04401,0.8994780000000221,2.3932800000000043,0,17.0,28.0,36.099999999999966,45.0,53.5,63.0,74.0,82.0,90.0,99,39.28932180863013,0.9862364620939356,1.0012425166610208,7.376000000029481,0.08694,0.09855,0.1017900000001645,0.1050299999999424,0.1093499999999494,0.1171800000001894,0.1363499999999931,0.1733400000000529,0.2236140000001344,0.2991599999998016,2.597129999999879,0,5.0,11.0,20.0,33.0,47.0,57.0,66.0,79.20000000000005,91.0,99,8.222807399746907,0.7924940222476399,1.1387474843138798,5.490267639900106,0.10503,0.1381860000000188,0.1695599999998194,0.2020950000001675,0.2387340000000223,0.256905,0.282582,0.3185459999999009,0.6931979999998478,3.6578790000000905,9.85014,0,1.0,19.0,29.0,38.0,46.0,50.0,55.0,62.0,95.0,99,5.854567385630115,0.9775231621073504,1.2482720864983206,8.447031431900392,0.02835,0.05859,0.06156,0.06453,0.06912,0.07479,0.08343,0.09315,0.1075140000000829,0.1363500000002204,13.309110000000146,0,12.0,17.0,23.0,30.0,37.0,46.0,59.0,70.0,82.0,99,13.042869860418737,0.9715984013957244,1.252585571620968,37.41416309013854,13
2,"3-20-23 Saline 0 +
 gsif 10^-6M segment 2",False,0.01026,0.03159,0.036936,0.03915,0.04131,0.04401,0.04779,0.05346,0.066474,0.1679400000000441,5.583869999999706,0,2.0,5.0,8.0,12.0,21.0,42.0,60.0,84.0,93.0,99,25.762077781126862,0.9792079686668576,1.0977758904399784,19.066666666711047,0.01026,0.018495,0.02538,0.02673,0.02808,0.02916,0.03051,0.0324,0.04239,0.9161100000000032,2.4788700000001427,0,16.0,26.0,36.0,45.0,54.0,63.0,72.0,81.0,90.0,99,38.22722817965767,0.9827905456922552,1.067185865395904,0.28950863213789646,0.0918,0.09909,0.10233,0.1058399999996481,0.1100519999999051,0.1189350000000786,0.1379699999998593,0.1749329999997598,0.2357099999999264,0.3402,1.4647500000000946,0,6.0,12.0,22.0,34.0,45.0,55.0,67.0,81.0,91.0,99,8.308180527886162,0.7074654377878747,1.0066802746336805,1.6005089058502744,0.03726,0.1385369999999056,0.1735020000001896,0.213624,0.2354399999996985,0.2516399999999521,0.2899800000000141,0.3262950000002774,0.5519340000002104,3.198743999999901,11.983950000000275,0,2.0,16.800000000000004,27.0,33.0,39.0,45.0,52.0,85.20000000000002,95.0,99,5.933181936862384,0.9791370958657252,1.0149782757832002,5.902131782946393,0.03483,0.05535,0.05724,0.05967,0.06318,0.06777,0.07101,0.07641,0.09207,0.1158299999999599,15.09434999999985,0,9.0,15.0,22.0,31.0,43.0,59.0,70.0,79.0,88.0,99,14.362913104942074,0.977944728,1.0239948713252056,50.0,12
3,"3-20-23 Saline 0 +
 gsif 10^-6M segment 3",False,0.01026,0.03375,0.03699,0.03888,0.04104,0.04347,0.04671,0.05211,0.064584,0.1317599999999856,5.9494499999998425,0,2.0,5.0,8.0,12.0,33.0,48.0,60.0,74.0,91.0,99,25.07544523235932,0.9784887678693016,1.0033696097627285,50.0,0.01026,0.01674,0.02484,0.02646,0.02781,0.02889,0.03024,0.0324,0.03942,0.8939700000000812,2.8290599999997994,0,18.0,27.0,37.0,45.80000000000007,55.0,63.0,74.0,82.0,91.0,99,39.08957817000295,0.9881656804733528,1.0374257425742364,22.37272727269665,0.08964,0.09882,0.1017899999999372,0.1044899999999415,0.10827,0.1155599999999594,0.1339199999999891,0.1698300000000472,0.2297699999999167,0.31158,1.5009299999999255,0,5.0,12.0,25.30000000000001,39.0,49.0,58.60000000000002,69.0,80.0,91.0,99,8.355485501686848,0.6974275948911177,1.181509032943611,0.960629921259768,0.1125899999999546,0.1406699999997727,0.1682100000000446,0.2008799999996426,0.2276099999999133,0.2496150000000625,0.2648699999999735,0.3285900000000765,0.6898499999999785,3.0059100000000853,11.733659999999873,0,2.0,16.200000000000045,33.599999999999994,39.0,46.0,50.0,59.39999999999998,81.0,95.0,99,5.724367614609565,0.8975102397717218,1.365487337397078,3.432280908822064,0.03537,0.05535,0.05859,0.06102,0.06399,0.067905,0.07317,0.08073,0.093852,0.1142099999999572,16.663320000000112,0,12.0,17.0,22.0,28.0,34.0,42.0,51.0,64.0,78.0,99,14.080923063861364,0.9878475597900136,1.1210899182561436,50.0,12
4,"3-20-23 Saline 1 +
 gsif 10^-6M segment 0",False,0.01026,0.01053,0.029268,0.04131,0.04482,0.04941,0.05508,0.06237,0.077112,0.2292299999999841,6.77916,0,2.0,5.0,8.0,12.0,21.0,37.0,54.0,75.0,93.0,98,35.06961338028286,0.9784132547395232,1.5359393160823902,20.186635944665532,0.01053,0.03105,0.03321,0.03483,0.03645,0.0378,0.03996,0.044361,0.072684,1.151550000000043,3.01509,0,16.0,26.0,34.0,40.0,50.0,59.0,69.0,80.0,90.0,99,27.53814351,0.9833437807826368,1.0229000641202166,20.235294117754876,0.09045,0.1096199999999498,0.1139399999997294,0.1190699999999651,0.1260899999999765,0.1360799999999926,0.1539000000000214,0.1881900000003042,0.2432700000001659,0.3445199999999886,1.498770000000377,0,6.0,13.600000000000025,26.0,36.0,46.0,55.0,67.59999999999991,80.0,91.0,99,7.515861459376395,0.7827418483153221,1.103797971764111,1.0785123966978314,0.0135,0.099549,0.1823039999998855,0.2543940000001157,0.3144959999998264,0.3917700000001787,0.525096,0.6412229999999907,0.8722079999996367,1.1765520000000609,3.156569999999874,0,9.0,21.0,30.0,35.0,41.0,51.0,63.0,76.0,92.0,99,12.631232678661153,0.9740826276623334,1.0192676547514834,4.508021390379978,0.03915,0.06426,0.06804,0.07317,0.07992,0.0864,0.09423,0.1058399999999437,0.1176119999999628,0.1349999999999909,16.766460000000052,0,8.0,14.0,20.19999999999999,27.0,37.0,51.0,66.0,76.0,86.0,99,11.604078969185608,0.9782601694096348,1.2993388014730594,50.0,10
5,"3-20-23 Saline 1 +
 gsif 10^-6M segment 1",False,0.01026,0.0108,0.03051,0.039933,0.0432,0.04644,0.05157,0.058617,0.07263,0.1651049999998837,5.549310000000105,0,2.0,5.0,10.0,18.80000000000001,29.0,49.0,70.0,85.0,94.0,99,35.016981645101566,0.9728993334306814,1.3091916682591396,9.573964497042374,0.01053,0.03024,0.03186,0.03348,0.03483,0.03618,0.03807,0.05022,0.073278,1.1032199999999648,3.2521500000000287,0,17.0,25.0,34.0,44.0,55.0,62.0,70.0,80.0,91.0,99,28.34922477,0.9862183478621612,1.0078654505899216,22.38582677162039,0.09207,0.1042200000001685,0.1080000000001746,0.1120499999999538,0.1169639999999162,0.1255499999999756,0.1455299999999624,0.1912410000000363,0.2367900000001555,0.3208949999998369,2.6946000000000367,0,6.0,14.0,24.0,34.0,46.0,58.0,70.89999999999998,82.0,91.30000000000008,99,7.844216945856144,0.9312625250500745,2.006433453960436,11.075221238940056,0.01053,0.045468,0.075816,0.092637,0.11367,0.1614599999998063,0.23058,0.2957850000000462,0.4450139999997193,0.7259219999998094,4.30542,0,9.0,19.0,28.0,40.0,49.0,57.0,68.0,80.0,91.0,99,14.622973786194832,0.7208704377273628,1.411150442477849,4.370649106302712,0.04779,0.06183,0.06372,0.06669,0.07101,0.075735,0.079596,0.08451,0.09963,0.1247399999999743,16.609320000000025,0,6.0,13.0,21.0,35.80000000000007,61.0,70.0,77.0,84.0,91.0,99,12.872619939546103,0.98093179,1.2590000204662264,50.0,10
6,"3-20-23 Saline 1 +
 gsif 10^-6M segment 2",False,0.01026,0.0108,0.03402,0.03969,0.04293,0.04671,0.05157,0.05859,0.070632,0.1273860000000471,6.84099,0,2.0,5.0,11.0,21.0,30.0,41.0,57.29999999999996,79.0,94.0,99,32.72787902429597,0.9915933220191676,1.204802662862545,50.0,0.01026,0.03024,0.03186,0.03348,0.03483,0.03726,0.04185,0.06345,0.078678,1.099440000000186,2.6163,0,18.0,28.0,38.0,47.0,56.0,65.0,74.0,83.0,92.0,99,26.473823127290068,0.971517028,1.051888840642634,14.597765363173645,0.09342,0.10395,0.1071899999997185,0.1106999999999516,0.1150200000001859,0.1214999999997417,0.1360259999999016,0.1703699999998207,0.2154599999998936,0.2970000000000254,2.978639999999814,0,6.0,15.0,24.0,34.0,44.0,54.0,65.0,79.60000000000002,92.0,99,7.923784301392726,0.943074692,1.9504950495048687,5.038425492033011,0.01107,0.069282,0.1515780000001996,0.1885409999995317,0.2311200000004192,0.2729699999999866,0.3239999999999326,0.43038,0.7414739999997444,1.1119410000001837,7.740089999999782,0,13.0,20.0,27.0,36.0,44.0,54.0,68.0,85.0,92.0,99,12.030802017247554,0.8996058185369755,1.0189812675505343,4.144089456869242,0.04617,0.06129,0.06453,0.06939,0.07506,0.079785,0.08451,0.09261,0.1069199999999455,0.132894,15.85412999999994,0,7.0,14.0,24.0,45.0,64.0,72.0,78.0,84.0,92.0,99,12.362622834007595,0.9835998569457804,1.203504816560773,50.0,11
7,"3-20-23 Saline 1 +
 gsif 10^-6M segment 3",False,0.01026,0.01107,0.03564,0.03996,0.0432,0.04671,0.05076,0.05778,0.06966,0.14742,5.480729999999994,0,2.0,5.0,9.0,15.0,25.0,34.0,43.0,66.0,89.0,99,31.187868664548667,0.977782157,1.3082624387728932,29.34355828231369,0.01026,0.03078,0.0324,0.03375,0.0351,0.03753,0.04428,0.064719,0.07884,1.08783,3.238920000000008,0,17.0,26.200000000000017,36.0,45.0,53.0,62.0,70.19999999999993,82.0,92.0,99,26.465586219442443,0.9835778592864723,1.2903087017317618,0.7110285006197826,0.05292,0.1058399999999437,0.10935,0.1125900000001593,0.1166400000001885,0.1244699999999738,0.1420200000000022,0.1755000000000564,0.2097900000001118,0.2851740000000064,2.8506600000000617,0,6.0,14.0,23.0,31.0,41.0,51.0,63.0,74.0,89.0,99,7.7490407636630945,0.628243986,2.056085686465188,7.428767123292121,0.01188,0.1115099999999529,0.1698299999995924,0.2184299999998984,0.2490479999999479,0.2799899999999979,0.3515400000001137,0.4676399999998466,0.65178,1.309769999999844,9.491310000000112,0,11.0,19.0,24.0,30.0,37.0,47.19999999999999,63.0,80.60000000000002,94.0,99,9.951320835409332,0.98745484,1.6978844667697437,7.943375481035745,0.04725,0.06048,0.06291,0.06561,0.06966,0.07398,0.07857,0.0864,0.09828,0.1182599999997364,13.810770000000048,0,6.0,12.0,18.0,26.0,46.5,70.0,79.0,85.0,92.0,99,13.113192869803848,0.9805086899571872,1.0065131837859216,50.0,10
8,"3-20-23 Unfed Hemo +
 gsif 10^-6M segment 0",False,0.02781,0.0378,0.04077,0.0432,0.047952,0.05508,0.06156,0.07209,0.088884,0.82188,7.135290000000168,-100,-100.0,-100.0,0.5,3.0,6.0,9.0,13.0,61.0,82.0,96,19.37346725571096,0.9845234040943048,1.0070113935144722,2.8977665208385335,0.01026,0.01593,0.02403,0.02646,0.02808,0.02997,0.03132,0.03321,0.036234,0.1088370000001527,4.074299999999994,-100,-100.0,-100.0,0.0,22.0,35.0,47.0,59.0,72.0,86.0,99,39.38191302373167,0.9910536779323912,1.0062683382235365,50.0,0.11718,0.1343249999999898,0.1468800000000101,0.1733400000000529,0.2030400000001009,0.2548799999999573,0.3320999999998548,0.7997399999999288,1.1340000000000146,1.367279999999937,53.08185000000003,0,3.0,7.0,11.0,15.200000000000005,37.0,54.599999999999966,63.6,75.0,89.0,97,6.278431991265258,0.1168009404344426,6.957548375427082,17.707910750509164,0.07965,0.4760100000000875,0.9358200000001488,1.1993400000000063,1.601370000000088,2.48157,3.3739199999999983,5.202765000000113,6.15033,7.292159999999967,14.668559999999845,-100,-100.0,-40.0,15.099999999999987,20.200000000000003,24.5,31.8,43.599999999999966,61.60000000000005,76.80000000000001,96,7.491395044327199,0.6506405536739697,1.5989169462593178,29.621542940343822,0.01026,0.05913,0.0621,0.06642,0.0729,0.07857,0.08694,0.1012499999999363,0.1192319999999653,0.1420200000000022,12.328739999999923,-100,-100.0,-100.0,0.0,7.0,15.0,71.0,77.79999999999995,83.0,90.0,99,12.554272018419804,0.98615917,1.027983520565512,50.0,6
9,"3-20-23 Unfed Hemo +
 gsif 10^-6M segment 1",False,0.03024,0.03618,0.03834,0.03996,0.04158,0.04347,0.04725,0.05481,0.070686,0.1256309999999075,8.36082,0,2.0,4.0,6.0,8.0,10.5,13.0,58.0,70.20000000000005,89.0,97,21.81970419563988,0.9920880966221436,1.1427411617093954,50.0,0.01026,0.01728,0.02592,0.027675,0.02943,0.03078,0.03186,0.03375,0.03861,1.016819999999825,4.257630000000063,0,19.0,27.0,34.0,44.0,51.0,62.0,73.0,85.0,92.0,99,37.68299915946716,0.991755977,1.039211809674393,25.719008264421053,0.1012500000001637,0.1109700000001794,0.1155599999997321,0.1201500000001942,0.1283040000001165,0.1476900000002388,0.1776059999999233,0.23733,0.38826,0.8896500000000742,1.80495,0,4.0,7.0,11.0,18.0,40.0,54.0,65.0,76.0,90.0,99,7.540034993508763,0.8686611817502404,1.1376786929883382,1.514981273409864,0.04563,0.2805299999999988,0.3648779999999533,0.9895500000002356,1.1888100000001032,1.8280349999997725,2.71674,3.1638599999996586,4.261464000000069,7.314840000000004,10.98036000000002,0,12.4,17.8,19.0,22.200000000000003,29.0,41.4,52.0,68.80000000000001,82.0,97,10.347370197256062,0.8760450477033609,1.2314307342921609,0.23143073429216077,0.04941,0.05616,0.05805,0.06183,0.06615,0.07101,0.07371,0.07695,0.08154,0.09126,13.500269999999546,0,5.0,10.0,15.0,72.0,77.0,81.0,85.29999999999995,90.0,94.0,99,14.267306181854634,0.9756804863902656,1.0124939251578975,50.0,8
